Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Risk_Binary,Age_Group,Credit_Group,Duration_Group,Credit_Per_Month,Sex_Encoded,Housing_Encoded,Saving accounts_Encoded,Checking account_Encoded,Purpose_Encoded,Age_Group_Encoded,Credit_Group_Encoded,Duration_Group_Encoded,Risk_Probability,Credit_Score,Risk_Category
40,male,1,own,unknown,little,1647,21,car,bad,1,36-45,Low,1-2 years,78.42857142857143,1,1,4,0,1,2,1,0,0.54,459,Poor
50,male,2,own,rich,unknown,3777,24,furniture/equipment,good,0,46-55,Medium,1-2 years,157.375,1,1,3,3,4,3,2,0,0.01,990,Excellent
36,male,2,own,little,moderate,884,18,car,bad,1,36-45,Very Low,1-2 years,49.111111111111114,1,1,0,1,1,2,4,0,0.94,60,Very Poor
31,male,2,own,little,unknown,1360,15,radio/TV,good,0,26-35,Low,1-2 years,90.66666666666667,1,1,0,3,5,1,1,0,0.0,1000,Excellent
74,female,3,free,little,moderate,5129,9,car,bad,1,55+,High,<1 year,569.8888888888889,0,0,0,1,1,4,0,4,0.78,219,Very Poor
68,male,0,free,little,moderate,1175,16,car,good,0,55+,Low,1-2 years,73.4375,1,0,0,1,1,4,1,0,0.58,420,Very Poor
20,male,2,own,moderate,little,674,12,radio/TV,bad,1,18-25,Very Low,<1 year,56.166666666666664,1,1,1,0,5,0,4,4,0.87,130,Very Poor
33,female,2,own,little,moderate,3244,18,furniture/equipment,good,0,26-35,Medium,1-2 years,180.22222222222223,0,1,0,1,4,1,2,0,0.32,679,Good
54,male,3,own,rich,unknown,4591,24,business,bad,1,46-55,Medium,1-2 years,191.29166666666666,1,1,3,3,0,3,2,0,0.06,940,Excellent
34,male,1,free,moderate,moderate,3844,48,business,bad,1,26-35,Medium,3-4 years,80.08333333333333,1,0,1,1,0,1,2,2,0.81,189,Very Poor
36,male,2,own,little,moderate,3915,27,business,bad,1,36-45,Medium,2-3 years,145.0,1,1,0,1,0,2,2,1,0.68,319,Very Poor
29,male,2,rent,little,unknown,2108,6,radio/TV,good,0,26-35,Low,<1 year,351.3333333333333,1,2,0,3,5,1,1,4,0.01,990,Excellent
21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad,1,18-25,Medium,3-4 years,67.35555555555555,1,2,1,1,5,0,2,2,0.55,449,Very Poor
34,female,3,own,little,moderate,1501,9,education,bad,1,26-35,Low,<1 year,166.77777777777777,0,1,0,1,3,1,1,4,0.73,270,Very Poor
28,female,2,own,little,unknown,1382,6,radio/TV,good,0,26-35,Low,<1 year,230.33333333333334,0,1,0,3,5,1,1,4,0.0,1000,Excellent
27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad,1,26-35,Very Low,<1 year,79.25,0,2,1,1,4,1,4,4,0.85,150,Very Poor
36,male,2,free,unknown,moderate,2760,24,car,good,0,36-45,Low,1-2 years,115.0,1,0,4,1,1,2,1,0,0.04,960,Excellent
40,male,3,own,little,moderate,4297,18,furniture/equipment,bad,1,36-45,Medium,1-2 years,238.72222222222223,1,1,0,1,4,2,2,0,0.31,690,Good
52,male,2,own,quite rich,unknown,936,9,education,good,0,46-55,Very Low,<1 year,104.0,1,1,2,3,3,3,4,4,0.02,980,Excellent
27,male,1,own,little,little,1168,12,car,good,0,26-35,Low,<1 year,97.33333333333333,1,1,0,0,1,1,1,4,0.23,770,Excellent
26,male,2,own,little,unknown,5117,27,business,good,0,26-35,High,2-3 years,189.5185185185185,1,1,0,3,0,1,0,1,0.13,870,Excellent
21,male,2,rent,little,little,902,12,education,bad,1,18-25,Very Low,<1 year,75.16666666666667,1,2,0,0,3,0,4,4,0.96,40,Very Poor
38,male,1,own,little,unknown,1495,12,car,good,0,36-45,Low,<1 year,124.58333333333333,1,1,0,3,1,2,1,4,0.03,970,Excellent
38,male,3,free,little,little,10623,30,car,good,0,36-45,Very High,2-3 years,354.1,1,0,0,0,1,2,3,1,0.24,760,Excellent
43,male,2,own,little,unknown,1935,12,furniture/equipment,good,0,36-45,Low,<1 year,161.25,1,1,0,3,4,2,1,4,0.03,970,Excellent
26,male,2,own,little,moderate,1424,12,domestic appliances,good,0,26-35,Low,<1 year,118.66666666666667,1,1,0,1,2,1,1,4,0.2,800,Excellent
21,male,1,own,little,little,6568,24,business,good,0,18-25,High,1-2 years,273.6666666666667,1,1,0,0,0,0,0,0,0.28,720,Good
55,male,2,own,rich,unknown,1413,12,car,good,0,46-55,Low,<1 year,117.75,1,1,3,3,1,3,1,4,0.02,980,Excellent
33,male,2,own,unknown,unknown,3074,9,radio/TV,good,0,26-35,Medium,<1 year,341.55555555555554,1,1,4,3,5,1,2,4,0.0,1000,Excellent
45,female,1,own,unknown,unknown,3835,36,radio/TV,good,0,36-45,Medium,2-3 years,106.52777777777777,0,1,4,3,5,2,2,1,0.08,920,Excellent
50,male,2,own,little,little,5293,27,business,bad,1,46-55,High,2-3 years,196.03703703703704,1,1,0,0,0,3,0,1,0.93,69,Very Poor
66,male,3,own,little,rich,1908,30,business,bad,1,55+,Low,2-3 years,63.6,1,1,0,2,0,4,1,1,0.87,130,Very Poor
51,male,2,own,unknown,unknown,3342,36,radio/TV,good,0,46-55,Medium,2-3 years,92.83333333333333,1,1,4,3,5,3,2,1,0.02,980,Excellent
39,female,1,own,unknown,moderate,932,6,education,good,0,36-45,Very Low,<1 year,155.33333333333334,0,1,4,1,3,2,4,4,0.1,900,Excellent
31,male,2,own,little,little,3104,18,business,good,0,26-35,Medium,1-2 years,172.44444444444446,1,1,0,0,0,1,2,0,0.7,300,Very Poor
23,male,2,own,little,rich,3913,36,radio/TV,good,0,18-25,Medium,2-3 years,108.69444444444444,1,1,0,2,5,0,2,1,0.22,780,Excellent
24,male,1,rent,little,little,3021,24,furniture/equipment,good,0,18-25,Medium,1-2 years,125.875,1,2,0,0,4,0,2,0,0.31,690,Good
64,female,2,own,little,unknown,1364,10,car,good,0,55+,Low,<1 year,136.4,0,1,0,3,1,4,1,4,0.05,950,Excellent
26,male,1,own,little,moderate,625,12,radio/TV,good,0,26-35,Very Low,<1 year,52.083333333333336,1,1,0,1,5,1,4,4,0.42,580,Fair
23,female,2,rent,unknown,little,1200,12,education,good,0,18-25,Low,<1 year,100.0,0,2,4,0,3,0,1,4,0.56,439,Very Poor
30,male,2,own,little,unknown,707,12,radio/TV,good,0,26-35,Very Low,<1 year,58.916666666666664,1,1,0,3,5,1,4,4,0.02,980,Excellent
32,male,2,own,unknown,unknown,2978,24,business,good,0,26-35,Low,1-2 years,124.08333333333333,1,1,4,3,0,1,1,0,0.04,960,Excellent
30,male,2,own,little,unknown,4657,15,car,good,0,26-35,Medium,1-2 years,310.46666666666664,1,1,0,3,1,1,2,0,0.07,929,Excellent
27,male,2,own,little,unknown,2613,36,repairs,good,0,26-35,Low,2-3 years,72.58333333333333,1,1,0,3,6,1,1,1,0.08,920,Excellent
27,male,2,own,rich,moderate,10961,48,radio/TV,bad,1,26-35,Very High,3-4 years,228.35416666666666,1,1,3,1,5,1,3,2,0.78,219,Very Poor
53,male,3,free,little,little,7865,12,furniture/equipment,bad,1,46-55,High,<1 year,655.4166666666666,1,0,0,0,4,3,0,4,0.8,199,Very Poor
22,male,2,own,little,unknown,1478,9,radio/TV,bad,1,18-25,Low,<1 year,164.22222222222223,1,1,0,3,5,0,1,4,0.07,929,Excellent
22,male,2,free,little,little,3149,24,furniture/equipment,good,0,18-25,Medium,1-2 years,131.20833333333334,1,0,0,0,4,0,2,0,0.81,189,Very Poor
26,male,2,own,little,rich,4210,36,radio/TV,bad,1,26-35,Medium,2-3 years,116.94444444444444,1,1,0,2,5,1,2,1,0.78,219,Very Poor
51,male,1,free,quite rich,unknown,2507,9,car,good,0,46-55,Low,<1 year,278.55555555555554,1,0,2,3,1,3,1,4,0.06,940,Excellent
35,male,2,own,moderate,unknown,2141,12,radio/TV,good,0,26-35,Low,<1 year,178.41666666666666,1,1,1,3,5,1,1,4,0.0,1000,Excellent
25,male,1,own,little,moderate,866,18,radio/TV,good,0,18-25,Very Low,1-2 years,48.111111111111114,1,1,0,1,5,0,4,0,0.29,710,Good
42,male,1,own,little,unknown,1544,4,radio/TV,good,0,36-45,Low,<1 year,386.0,1,1,0,3,5,2,1,4,0.01,990,Excellent
30,male,3,own,little,little,1823,24,radio/TV,bad,1,26-35,Low,1-2 years,75.95833333333333,1,1,0,0,5,1,1,0,0.55,449,Very Poor
23,male,0,own,unknown,moderate,14555,6,car,bad,1,18-25,Very High,<1 year,2425.8333333333335,1,1,4,1,1,0,3,4,0.25,750,Excellent
61,male,1,rent,moderate,moderate,2767,21,business,bad,1,55+,Low,1-2 years,131.76190476190476,1,2,1,1,0,4,1,0,0.85,150,Very Poor
35,female,2,own,little,unknown,1291,12,radio/TV,good,0,26-35,Low,<1 year,107.58333333333333,0,1,0,3,5,1,1,4,0.02,980,Excellent
39,male,2,own,little,little,2522,30,radio/TV,good,0,36-45,Low,2-3 years,84.06666666666666,1,1,0,0,5,2,1,1,0.25,750,Excellent
29,female,2,own,unknown,little,915,24,car,bad,1,26-35,Very Low,1-2 years,38.125,0,1,4,0,1,1,4,0,0.95,50,Very Poor
51,male,2,own,little,unknown,1595,6,radio/TV,good,0,46-55,Low,<1 year,265.8333333333333,1,1,0,3,5,3,1,4,0.0,1000,Excellent
24,male,2,free,little,little,4605,48,car,bad,1,18-25,Medium,3-4 years,95.9375,1,0,0,0,1,0,2,2,0.89,109,Very Poor
27,female,2,own,little,unknown,1185,12,business,good,0,26-35,Low,<1 year,98.75,0,1,0,3,0,1,1,4,0.05,950,Excellent
35,female,1,own,quite rich,unknown,3447,12,education,good,0,26-35,Medium,<1 year,287.25,0,1,2,3,3,1,2,4,0.08,920,Excellent
25,male,2,own,little,unknown,1258,24,business,good,0,18-25,Low,1-2 years,52.416666666666664,1,1,0,3,0,0,1,0,0.0,1000,Excellent
52,male,2,own,little,unknown,717,12,radio/TV,good,0,46-55,Very Low,<1 year,59.75,1,1,0,3,5,3,4,4,0.08,920,Excellent
35,male,2,rent,moderate,unknown,1204,6,car,good,0,26-35,Low,<1 year,200.66666666666666,1,2,1,3,1,1,1,4,0.0,1000,Excellent
26,male,2,own,little,rich,1925,24,furniture/equipment,good,0,26-35,Low,1-2 years,80.20833333333333,1,1,0,2,4,1,1,0,0.31,690,Good
22,female,2,rent,little,unknown,433,18,radio/TV,bad,1,18-25,Very Low,1-2 years,24.055555555555557,0,2,0,3,5,0,4,0,0.68,319,Very Poor
39,female,1,own,rich,little,666,6,car,good,0,36-45,Very Low,<1 year,111.0,0,1,3,0,1,2,4,4,0.14,860,Excellent
46,female,1,own,little,rich,2251,12,furniture/equipment,good,0,46-55,Low,<1 year,187.58333333333334,0,1,0,2,4,3,1,4,0.18,820,Excellent
24,female,2,own,little,moderate,2150,30,car,bad,1,18-25,Low,2-3 years,71.66666666666667,0,1,0,1,1,0,1,1,0.95,50,Very Poor
35,male,2,own,moderate,unknown,4151,24,furniture/equipment,good,0,26-35,Medium,1-2 years,172.95833333333334,1,1,1,3,4,1,2,0,0.06,940,Excellent
24,male,2,own,unknown,moderate,2030,9,furniture/equipment,good,0,18-25,Low,<1 year,225.55555555555554,1,1,4,1,4,0,1,4,0.07,929,Excellent
27,male,1,own,unknown,moderate,7418,60,radio/TV,good,0,26-35,High,4+ years,123.63333333333334,1,1,4,1,5,1,0,3,0.06,940,Excellent
35,male,1,own,little,unknown,2684,24,radio/TV,good,0,26-35,Low,1-2 years,111.83333333333333,1,1,0,3,5,1,1,0,0.08,920,Excellent
29,male,2,free,little,little,2149,12,radio/TV,bad,1,26-35,Low,<1 year,179.08333333333334,1,0,0,0,5,1,1,4,0.3,700,Good
23,female,2,own,moderate,unknown,3812,15,car,good,0,18-25,Medium,1-2 years,254.13333333333333,0,1,1,3,1,0,2,0,0.02,980,Excellent
57,female,1,own,moderate,unknown,1154,11,radio/TV,good,0,55+,Low,<1 year,104.9090909090909,0,1,1,3,5,4,1,4,0.08,920,Excellent
27,male,2,own,little,little,1657,12,furniture/equipment,good,0,26-35,Low,<1 year,138.08333333333334,1,1,0,0,4,1,1,4,0.05,950,Excellent
55,female,2,own,little,little,1603,24,radio/TV,good,0,46-55,Low,1-2 years,66.79166666666667,0,1,0,0,5,3,1,0,0.62,380,Very Poor
36,male,3,free,little,little,5302,18,car,good,0,36-45,High,1-2 years,294.55555555555554,1,0,0,0,1,2,0,0,0.07,929,Excellent
57,female,1,free,little,unknown,2748,12,education,good,0,55+,Low,<1 year,229.0,0,0,0,3,3,4,1,4,0.22,780,Excellent
32,male,1,own,little,unknown,1231,10,car,good,0,26-35,Low,<1 year,123.1,1,1,0,3,1,1,1,4,0.09,910,Excellent
37,male,2,own,little,moderate,802,15,radio/TV,bad,1,36-45,Very Low,1-2 years,53.46666666666667,1,1,0,1,5,2,4,0,0.84,160,Very Poor
36,male,2,own,unknown,unknown,6304,36,business,good,0,36-45,High,2-3 years,175.11111111111111,1,1,4,3,0,2,0,1,0.03,970,Excellent
38,female,2,own,little,unknown,1533,24,radio/TV,good,0,36-45,Low,1-2 years,63.875,0,1,0,3,5,2,1,0,0.04,960,Excellent
45,male,3,own,little,little,8978,14,car,bad,1,36-45,High,1-2 years,641.2857142857143,1,1,0,0,1,2,0,0,0.88,120,Very Poor
25,male,2,own,unknown,unknown,999,24,radio/TV,good,0,18-25,Very Low,1-2 years,41.625,1,1,4,3,5,0,4,0,0.03,970,Excellent
32,male,2,own,unknown,unknown,2662,18,car,good,0,26-35,Low,1-2 years,147.88888888888889,1,1,4,3,1,1,1,0,0.01,990,Excellent
37,female,2,rent,quite rich,unknown,1402,12,furniture/equipment,good,0,36-45,Low,<1 year,116.83333333333333,0,2,2,3,4,2,1,4,0.05,950,Excellent
36,male,3,free,unknown,moderate,12169,48,car,good,0,36-45,Very High,3-4 years,253.52083333333334,1,0,4,1,1,2,3,2,0.08,920,Excellent
28,male,2,own,little,moderate,3060,48,radio/TV,bad,1,26-35,Medium,3-4 years,63.75,1,1,0,1,5,1,2,2,0.41,590,Fair
34,male,1,own,little,little,11998,30,repairs,bad,1,26-35,Very High,2-3 years,399.93333333333334,1,1,0,0,6,1,3,1,0.92,79,Very Poor
32,male,2,own,little,unknown,2697,9,radio/TV,good,0,26-35,Low,<1 year,299.6666666666667,1,1,0,3,5,1,1,4,0.0,1000,Excellent
26,female,2,own,little,unknown,2404,18,radio/TV,good,0,26-35,Low,1-2 years,133.55555555555554,0,1,0,3,5,1,1,0,0.08,920,Excellent
49,male,1,own,unknown,little,1262,12,furniture/equipment,good,0,46-55,Low,<1 year,105.16666666666667,1,1,4,0,4,3,1,4,0.26,740,Good
32,female,2,own,little,unknown,4611,6,furniture/equipment,bad,1,26-35,Medium,<1 year,768.5,0,1,0,3,4,1,2,4,0.67,329,Very Poor
29,male,3,rent,moderate,unknown,1901,24,radio/TV,good,0,26-35,Low,1-2 years,79.20833333333333,1,2,1,3,5,1,1,0,0.06,940,Excellent
23,male,2,rent,rich,unknown,3368,15,car,good,0,18-25,Medium,1-2 years,224.53333333333333,1,2,3,3,1,0,2,0,0.02,980,Excellent
50,male,2,own,little,unknown,1574,12,furniture/equipment,good,0,46-55,Low,<1 year,131.16666666666666,1,1,0,3,4,3,1,4,0.01,990,Excellent
49,male,1,own,unknown,rich,1445,18,radio/TV,good,0,46-55,Low,1-2 years,80.27777777777777,1,1,4,2,5,3,1,0,0.23,770,Excellent
63,male,2,own,unknown,unknown,1520,15,furniture/equipment,good,0,55+,Low,1-2 years,101.33333333333333,1,1,4,3,4,4,1,0,0.07,929,Excellent
37,male,2,own,moderate,moderate,3878,24,car,good,0,36-45,Medium,1-2 years,161.58333333333334,1,1,1,1,1,2,2,0,0.15,850,Excellent
35,female,1,own,little,little,10722,47,car,good,0,26-35,Very High,3-4 years,228.12765957446808,0,1,0,0,1,1,3,2,0.33,669,Good
26,male,2,own,little,little,4788,48,car,good,0,26-35,Medium,3-4 years,99.75,1,1,0,0,1,1,2,2,0.37,630,Fair
31,male,3,free,moderate,moderate,7582,48,vacation/others,good,0,26-35,High,3-4 years,157.95833333333334,1,0,1,1,7,1,0,2,0.15,850,Excellent
49,female,2,own,little,moderate,1092,12,radio/TV,good,0,46-55,Low,<1 year,91.0,0,1,0,1,5,3,1,4,0.17,830,Excellent
48,male,2,own,little,little,1024,24,radio/TV,bad,1,46-55,Low,1-2 years,42.666666666666664,1,1,0,0,5,3,1,0,0.59,410,Very Poor
26,male,2,own,little,unknown,1076,12,business,good,0,26-35,Low,<1 year,89.66666666666667,1,1,0,3,0,1,1,4,0.03,970,Excellent
28,male,3,rent,little,moderate,9398,36,car,bad,1,26-35,High,2-3 years,261.05555555555554,1,2,0,1,1,1,0,1,0.93,69,Very Poor
44,female,3,free,little,little,6419,24,car,good,0,36-45,High,1-2 years,267.4583333333333,0,0,0,0,1,2,0,0,0.31,690,Good
56,male,2,free,little,rich,4796,42,car,good,0,55+,Medium,3-4 years,114.19047619047619,1,0,0,2,1,4,2,2,0.71,290,Very Poor
46,male,3,own,unknown,unknown,7629,48,business,good,0,46-55,High,3-4 years,158.9375,1,1,4,3,0,3,0,2,0.1,900,Excellent
26,female,2,own,little,moderate,9960,48,furniture/equipment,bad,1,26-35,High,3-4 years,207.5,0,1,0,1,4,1,0,2,0.93,69,Very Poor
20,female,2,rent,unknown,unknown,4675,12,car,good,0,18-25,Medium,<1 year,389.5833333333333,0,2,4,3,1,0,2,4,0.21,790,Excellent
45,male,1,own,unknown,unknown,1287,10,car,good,0,36-45,Low,<1 year,128.7,1,1,4,3,1,2,1,4,0.18,820,Excellent
43,male,2,own,little,unknown,2515,18,furniture/equipment,good,0,36-45,Low,1-2 years,139.72222222222223,1,1,0,3,4,2,1,0,0.06,940,Excellent
32,male,2,own,rich,moderate,2745,21,furniture/equipment,good,0,26-35,Low,1-2 years,130.71428571428572,1,1,3,1,4,1,1,0,0.07,929,Excellent
54,female,0,own,little,unknown,672,6,car,good,0,46-55,Very Low,<1 year,112.0,0,1,0,3,1,3,4,4,0.07,929,Excellent
42,female,2,own,little,moderate,3804,36,radio/TV,bad,1,36-45,Medium,2-3 years,105.66666666666667,0,1,0,1,5,2,2,1,0.81,189,Very Poor
37,male,1,own,unknown,rich,1344,24,car,bad,1,36-45,Low,1-2 years,56.0,1,1,4,2,1,2,1,0,0.89,109,Very Poor
49,male,2,own,little,little,1038,10,car,good,0,46-55,Low,<1 year,103.8,1,1,0,0,1,3,1,4,0.16,840,Excellent
44,male,2,free,quite rich,unknown,10127,48,car,bad,1,36-45,Very High,3-4 years,210.97916666666666,1,0,2,3,1,2,3,2,0.14,860,Excellent
33,male,2,own,rich,unknown,1543,6,furniture/equipment,good,0,26-35,Low,<1 year,257.1666666666667,1,1,3,3,4,1,1,4,0.0,1000,Excellent
24,female,1,rent,unknown,unknown,4811,30,car,good,0,18-25,Medium,2-3 years,160.36666666666667,0,2,4,3,1,0,2,1,0.06,940,Excellent
33,male,1,own,moderate,little,727,12,radio/TV,bad,1,26-35,Very Low,<1 year,60.583333333333336,1,1,1,0,5,1,4,4,0.94,60,Very Poor
24,female,2,own,little,moderate,1237,8,furniture/equipment,bad,1,18-25,Low,<1 year,154.625,0,1,0,1,4,0,1,4,0.51,490,Poor
22,male,1,rent,little,moderate,276,9,car,good,0,18-25,Very Low,<1 year,30.666666666666668,1,2,0,1,1,0,4,4,0.12,880,Excellent
40,male,0,free,unknown,moderate,5381,48,vacation/others,good,0,36-45,High,3-4 years,112.10416666666667,1,0,4,1,7,2,0,2,0.06,940,Excellent
25,male,2,own,moderate,unknown,5511,24,furniture/equipment,good,0,18-25,High,1-2 years,229.625,1,1,1,3,4,0,0,0,0.08,920,Excellent
26,female,2,own,little,rich,3749,24,furniture/equipment,good,0,26-35,Medium,1-2 years,156.20833333333334,0,1,0,2,4,1,2,0,0.26,740,Good
25,male,1,own,little,moderate,685,12,car,bad,1,18-25,Very Low,<1 year,57.083333333333336,1,1,0,1,1,0,4,4,0.92,79,Very Poor
29,male,1,own,unknown,rich,1494,4,car,good,0,26-35,Low,<1 year,373.5,1,1,4,2,1,1,1,4,0.07,929,Excellent
31,male,2,own,little,little,2746,36,furniture/equipment,bad,1,26-35,Low,2-3 years,76.27777777777777,1,1,0,0,4,1,1,1,0.98,20,Very Poor
38,male,1,own,little,little,708,12,furniture/equipment,good,0,36-45,Very Low,<1 year,59.0,1,1,0,0,4,2,4,4,0.32,679,Good
48,female,1,own,unknown,moderate,4351,24,furniture/equipment,good,0,46-55,Medium,1-2 years,181.29166666666666,0,1,4,1,4,3,2,0,0.22,780,Excellent
32,male,2,own,little,unknown,701,12,education,good,0,26-35,Very Low,<1 year,58.416666666666664,1,1,0,3,3,1,4,4,0.07,929,Excellent
27,female,1,own,little,little,3643,15,furniture/equipment,good,0,26-35,Medium,1-2 years,242.86666666666667,0,1,0,0,4,1,2,0,0.17,830,Excellent
28,male,3,own,little,moderate,4249,30,car,bad,1,26-35,Medium,2-3 years,141.63333333333333,1,1,0,1,1,1,2,1,0.9,99,Very Poor
32,male,2,own,little,little,1938,24,radio/TV,bad,1,26-35,Low,1-2 years,80.75,1,1,0,0,5,1,1,0,0.89,109,Very Poor
34,male,3,free,little,little,2910,24,car,good,0,26-35,Low,1-2 years,121.25,1,0,0,0,1,1,1,0,0.19,810,Excellent
28,male,2,own,rich,little,2659,18,furniture/equipment,good,0,26-35,Low,1-2 years,147.72222222222223,1,1,3,0,4,1,1,0,0.09,910,Excellent
36,female,2,own,little,unknown,1028,18,car,good,0,36-45,Low,1-2 years,57.111111111111114,0,1,0,3,1,2,1,0,0.05,950,Excellent
39,male,1,own,little,little,3398,8,car,good,0,36-45,Medium,<1 year,424.75,1,1,0,0,1,2,2,4,0.04,960,Excellent
49,male,2,rent,unknown,unknown,5801,12,furniture/equipment,good,0,46-55,High,<1 year,483.4166666666667,1,2,4,3,4,3,0,4,0.1,900,Excellent
34,female,2,own,rich,unknown,1525,24,car,good,0,26-35,Low,1-2 years,63.541666666666664,0,1,3,3,1,1,1,0,0.02,980,Excellent
31,male,2,own,little,rich,4473,36,radio/TV,good,0,26-35,Medium,2-3 years,124.25,1,1,0,2,5,1,2,1,0.29,710,Good
28,male,2,own,little,moderate,1068,6,radio/TV,good,0,26-35,Low,<1 year,178.0,1,1,0,1,5,1,1,4,0.07,929,Excellent
75,male,3,free,little,little,6615,24,car,good,0,55+,High,1-2 years,275.625,1,0,0,0,1,4,0,0,0.38,620,Fair
30,female,2,own,moderate,unknown,1864,18,education,bad,1,26-35,Low,1-2 years,103.55555555555556,0,1,1,3,3,1,1,0,0.67,329,Very Poor
24,female,3,own,moderate,moderate,7408,60,car,bad,1,18-25,High,4+ years,123.46666666666667,0,1,1,1,1,0,0,3,0.94,60,Very Poor
24,female,1,rent,moderate,unknown,11590,48,car,bad,1,18-25,Very High,3-4 years,241.45833333333334,0,2,1,3,1,0,3,2,0.82,180,Very Poor
23,male,2,rent,little,little,4110,24,furniture/equipment,bad,1,18-25,Medium,1-2 years,171.25,1,2,0,0,4,0,2,0,0.86,140,Very Poor
44,male,3,rent,little,little,3384,6,furniture/equipment,bad,1,36-45,Medium,<1 year,564.0,1,2,0,0,4,2,2,4,0.75,250,Very Poor
23,female,1,own,little,moderate,2101,13,radio/TV,good,0,18-25,Low,1-2 years,161.6153846153846,0,1,0,1,5,0,1,0,0.37,630,Fair
24,female,2,rent,unknown,little,1275,15,domestic appliances,bad,1,18-25,Low,1-2 years,85.0,0,2,4,0,2,0,1,0,0.59,410,Very Poor
28,male,2,own,little,little,4169,24,furniture/equipment,good,0,26-35,Medium,1-2 years,173.70833333333334,1,1,0,0,4,1,2,0,0.73,270,Very Poor
31,male,1,own,little,moderate,1521,10,furniture/equipment,good,0,26-35,Low,<1 year,152.1,1,1,0,1,4,1,1,4,0.15,850,Excellent
24,female,2,free,little,moderate,5743,24,education,good,0,18-25,High,1-2 years,239.29166666666666,0,0,0,1,3,0,0,0,0.34,659,Good
26,female,1,rent,little,little,3599,21,furniture/equipment,good,0,26-35,Medium,1-2 years,171.38095238095238,0,2,0,0,4,1,2,0,0.16,840,Excellent
25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good,0,18-25,Medium,1-2 years,178.5,1,2,2,1,5,0,2,0,0.13,870,Excellent
33,male,3,own,little,moderate,4439,18,business,good,0,26-35,Medium,1-2 years,246.61111111111111,1,1,0,1,0,1,2,0,0.2,800,Excellent
37,male,1,own,little,rich,3949,10,car,good,0,36-45,Medium,<1 year,394.9,1,1,0,2,1,2,2,4,0.06,940,Excellent
43,female,1,own,little,unknown,1459,15,radio/TV,good,0,36-45,Low,1-2 years,97.26666666666667,0,1,0,3,5,2,1,0,0.05,950,Excellent
23,male,2,own,little,moderate,882,13,radio/TV,good,0,18-25,Very Low,1-2 years,67.84615384615384,1,1,0,1,5,0,4,0,0.51,490,Poor
23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good,0,18-25,Medium,1-2 years,156.58333333333334,0,2,2,1,5,0,2,0,0.37,630,Fair
34,male,1,own,moderate,unknown,1743,6,business,good,0,26-35,Low,<1 year,290.5,1,1,1,3,0,1,1,4,0.03,970,Excellent
32,male,2,free,rich,moderate,1136,9,education,bad,1,26-35,Low,<1 year,126.22222222222223,1,0,3,1,3,1,1,4,0.85,150,Very Poor
23,female,2,rent,little,unknown,1236,9,domestic appliances,good,0,18-25,Low,<1 year,137.33333333333334,0,2,0,3,2,0,1,4,0.04,960,Excellent
29,female,2,own,little,moderate,959,9,furniture/equipment,bad,1,26-35,Very Low,<1 year,106.55555555555556,0,1,0,1,4,1,4,4,0.93,69,Very Poor
38,male,3,own,unknown,unknown,3229,18,car,good,0,36-45,Medium,1-2 years,179.38888888888889,1,1,4,3,1,2,2,0,0.0,1000,Excellent
28,male,2,rent,little,little,6199,12,radio/TV,bad,1,26-35,High,<1 year,516.5833333333334,1,2,0,0,5,1,0,4,0.42,580,Fair
46,male,2,free,quite rich,unknown,727,10,education,good,0,46-55,Very Low,<1 year,72.7,1,0,2,3,3,3,4,4,0.05,950,Excellent
23,male,1,own,little,moderate,1246,24,car,bad,1,18-25,Low,1-2 years,51.916666666666664,1,1,0,1,1,0,1,0,0.59,410,Very Poor
49,male,2,own,unknown,unknown,2331,12,radio/TV,good,0,46-55,Low,<1 year,194.25,1,1,4,3,5,3,1,4,0.0,1000,Excellent
26,male,3,own,little,unknown,4463,36,radio/TV,bad,1,26-35,Medium,2-3 years,123.97222222222223,1,1,0,3,5,1,2,1,0.71,290,Very Poor
28,male,2,own,little,unknown,776,12,radio/TV,good,0,26-35,Very Low,<1 year,64.66666666666667,1,1,0,3,5,1,4,4,0.03,970,Excellent
23,female,2,rent,little,little,2406,30,furniture/equipment,bad,1,18-25,Low,2-3 years,80.2,0,2,0,0,4,0,1,1,0.97,30,Very Poor
61,male,2,free,unknown,moderate,1239,18,education,good,0,55+,Low,1-2 years,68.83333333333333,1,0,4,1,3,4,1,0,0.25,750,Excellent
37,male,3,own,unknown,rich,3399,12,radio/TV,good,0,36-45,Medium,<1 year,283.25,1,1,4,2,5,2,2,4,0.06,940,Excellent
36,female,2,own,little,rich,2247,12,car,good,0,36-45,Low,<1 year,187.25,0,1,0,2,1,2,1,4,0.25,750,Excellent
21,male,2,rent,little,unknown,1766,6,furniture/equipment,good,0,18-25,Low,<1 year,294.3333333333333,1,2,0,3,4,0,1,4,0.06,940,Excellent
25,male,0,own,little,little,2473,18,furniture/equipment,bad,1,18-25,Low,1-2 years,137.38888888888889,1,1,0,0,4,0,1,0,0.91,89,Very Poor
36,male,2,own,little,unknown,1542,12,business,good,0,36-45,Low,<1 year,128.5,1,1,0,3,0,2,1,4,0.04,960,Excellent
